----------------------------------------------------------------------------------
dim_{Spin} = 1 ,
dim_{Lat} = 3 ,
N = ( 16 x 16 x 16 ) ,
T = 1.000000000000e+00 ,
delta_T = 1.000000000000e-01 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 ) ,
sigma_h = ( 2.000000000000e+00 ) ,
<h_i> = ( -3.102112359020e-03 ) ,
order = ( 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 0 ,
Averaging-MCS = 128 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-02 ,
==================================================================================
step	<|m|>	<m[0]>	<E>	
----------------------------------------------------------------------------------
0	9.865226745605e-01	9.865226745605e-01	-2.988989165246e+00	
1	9.872627258301e-01	9.872627258301e-01	-2.991339485950e+00	
2	9.869308471680e-01	9.869308471680e-01	-2.991524081862e+00	
3	9.876289367676e-01	9.876289367676e-01	-2.990878766670e+00	
4	9.875946044922e-01	9.875946044922e-01	-2.990266380015e+00	
5	9.872283935547e-01	9.872283935547e-01	-2.990579985891e+00	
6	9.866828918457e-01	9.866828918457e-01	-2.990529269388e+00	
7	9.883193969727e-01	9.883193969727e-01	-2.990751421710e+00	
8	9.881057739258e-01	9.881057739258e-01	-2.990206621588e+00	
9	9.872474670410e-01	9.872474670410e-01	-2.990762287408e+00	
10	9.873352050781e-01	9.873352050781e-01	-2.990160950650e+00	
11	9.877738952637e-01	9.877738952637e-01	-2.991439004767e+00	
12	9.865760803223e-01	9.865760803223e-01	-2.989692480787e+00	
13	9.862251281738e-01	9.862251281738e-01	-2.990012497310e+00	
14	9.870185852051e-01	9.870185852051e-01	-2.990920541519e+00	
15	9.875450134277e-01	9.875450134277e-01	-2.991054404484e+00	
16	9.864082336426e-01	9.864082336426e-01	-2.990564106988e+00	
17	9.871826171875e-01	9.871826171875e-01	-2.990226632603e+00	
18	9.867897033691e-01	9.867897033691e-01	-2.990919520466e+00	
19	9.864883422852e-01	9.864883422852e-01	-2.990303152827e+00	
20	9.877319335938e-01	9.877319335938e-01	-2.990217780407e+00	
21	9.879570007324e-01	9.879570007324e-01	-2.990302022615e+00	
22	9.885177612305e-01	9.885177612305e-01	-2.990675023856e+00	
23	9.871482849121e-01	9.871482849121e-01	-2.991045643157e+00	
24	9.851379394531e-01	9.851379394531e-01	-2.989495945851e+00	
25	9.883460998535e-01	9.883460998535e-01	-2.990367507333e+00	
26	9.873504638672e-01	9.873504638672e-01	-2.990461314979e+00	
27	9.872512817383e-01	9.872512817383e-01	-2.990657427017e+00	
28	9.876365661621e-01	9.876365661621e-01	-2.990925646124e+00	
29	9.873085021973e-01	9.873085021973e-01	-2.991477414780e+00	
30	9.875526428223e-01	9.875526428223e-01	-2.990845855414e+00	
31	9.868621826172e-01	9.868621826172e-01	-2.991218950746e+00	
32	9.878997802734e-01	9.878997802734e-01	-2.990628928811e+00	
33	9.868736267090e-01	9.868736267090e-01	-2.990651627362e+00	
34	9.871139526367e-01	9.871139526367e-01	-2.990296699949e+00	
35	9.869232177734e-01	9.869232177734e-01	-2.989998864930e+00	
36	9.870033264160e-01	9.870033264160e-01	-2.990255540535e+00	
37	9.876708984375e-01	9.876708984375e-01	-2.990357307094e+00	
38	9.879417419434e-01	9.879417419434e-01	-2.990262022946e+00	
39	9.864616394043e-01	9.864616394043e-01	-2.990032080263e+00	
40	9.863777160645e-01	9.863777160645e-01	-2.990225835384e+00	
41	9.877738952637e-01	9.877738952637e-01	-2.990635026150e+00	
42	9.883193969727e-01	9.883193969727e-01	-2.991621911107e+00	
43	9.871368408203e-01	9.871368408203e-01	-2.991051733188e+00	
44	9.858131408691e-01	9.858131408691e-01	-2.990514696342e+00	
45	9.883460998535e-01	9.883460998535e-01	-2.991116897377e+00	
46	9.865036010742e-01	9.865036010742e-01	-2.989801544125e+00	
47	9.870986938477e-01	9.870986938477e-01	-2.990460903715e+00	
48	9.874992370605e-01	9.874992370605e-01	-2.991099197874e+00	
49	9.874534606934e-01	9.874534606934e-01	-2.990979350383e+00	
50	9.877128601074e-01	9.877128601074e-01	-2.990475279508e+00	
51	9.882392883301e-01	9.882392883301e-01	-2.991348931216e+00	
52	9.884948730469e-01	9.884948730469e-01	-2.990927819932e+00	
53	9.872817993164e-01	9.872817993164e-01	-2.990807074009e+00	
54	9.878273010254e-01	9.878273010254e-01	-2.991589244106e+00	
55	9.871330261230e-01	9.871330261230e-01	-2.990362756354e+00	
56	9.870452880859e-01	9.870452880859e-01	-2.990039587123e+00	
57	9.877548217773e-01	9.877548217773e-01	-2.991293622555e+00	
58	9.860420227051e-01	9.860420227051e-01	-2.989782760014e+00	
59	9.867515563965e-01	9.867515563965e-01	-2.990576927457e+00	
60	9.876441955566e-01	9.876441955566e-01	-2.990405267594e+00	
61	9.882774353027e-01	9.882774353027e-01	-2.991322749245e+00	
62	9.866104125977e-01	9.866104125977e-01	-2.990811328629e+00	
63	9.867095947266e-01	9.867095947266e-01	-2.989686942896e+00	
64	9.876899719238e-01	9.876899719238e-01	-2.989937172812e+00	
65	9.869880676270e-01	9.869880676270e-01	-2.990742729957e+00	
66	9.877357482910e-01	9.877357482910e-01	-2.990421421572e+00	
67	9.869499206543e-01	9.869499206543e-01	-2.990200570841e+00	
68	9.877548217773e-01	9.877548217773e-01	-2.991047903076e+00	
69	9.871559143066e-01	9.871559143066e-01	-2.991013425024e+00	
70	9.873733520508e-01	9.873733520508e-01	-2.990070174141e+00	
71	9.875984191895e-01	9.875984191895e-01	-2.990916041148e+00	
72	9.872436523438e-01	9.872436523438e-01	-2.990457279665e+00	
73	9.875488281250e-01	9.875488281250e-01	-2.990854215306e+00	
74	9.874992370605e-01	9.874992370605e-01	-2.991339963019e+00	
75	9.878692626953e-01	9.878692626953e-01	-2.990710013449e+00	
76	9.872703552246e-01	9.872703552246e-01	-2.990481325060e+00	
77	9.881172180176e-01	9.881172180176e-01	-2.990994313704e+00	
78	9.870300292969e-01	9.870300292969e-01	-2.990091784484e+00	
79	9.872856140137e-01	9.872856140137e-01	-2.990491798662e+00	
