----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
sigma_h = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
<h_i> = ( -1.735472241790e-03 , 1.800892134882e-03 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all sites simultaneously.. 
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 0)
----------------------------------------------------------------------------------
-1.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	-9.529271747460e-01	-2.671689425545e-04	
-9.990000000000e-01	-9.990000000000e-01	0.000000000000e+00	-9.528787009269e-01	-2.653962929823e-04	
-9.980000000000e-01	-9.980000000000e-01	0.000000000000e+00	-9.528301309485e-01	-2.636065821601e-04	
-9.970000000000e-01	-9.970000000000e-01	0.000000000000e+00	-9.527814644919e-01	-2.617994744230e-04	
-9.960000000000e-01	-9.960000000000e-01	0.000000000000e+00	-9.527327012345e-01	-2.599746152767e-04	
-9.950000000000e-01	-9.950000000000e-01	0.000000000000e+00	-9.526838408491e-01	-2.581316301141e-04	
-9.940000000000e-01	-9.940000000000e-01	0.000000000000e+00	-9.526348830039e-01	-2.562701228207e-04	
-9.930000000000e-01	-9.930000000000e-01	0.000000000000e+00	-9.525858273619e-01	-2.543896742576e-04	
-9.920000000000e-01	-9.920000000000e-01	0.000000000000e+00	-9.525366735809e-01	-2.524898406084e-04	
-9.910000000000e-01	-9.910000000000e-01	0.000000000000e+00	-9.524874213133e-01	-2.505701515741e-04	
-9.900000000000e-01	-9.900000000000e-01	0.000000000000e+00	-9.524380702052e-01	-2.486301083983e-04	
-9.890000000000e-01	-9.890000000000e-01	0.000000000000e+00	-9.523886198964e-01	-2.466691817038e-04	
-9.880000000000e-01	-9.880000000000e-01	0.000000000000e+00	-9.523390700195e-01	-2.446868091155e-04	
-9.870000000000e-01	-9.870000000000e-01	0.000000000000e+00	-9.522894202002e-01	-2.426823926462e-04	
-9.860000000000e-01	-9.860000000000e-01	0.000000000000e+00	-9.522396700558e-01	-2.406552958130e-04	
-9.850000000000e-01	-9.850000000000e-01	0.000000000000e+00	-9.521898191953e-01	-2.386048404502e-04	
-9.840000000000e-01	-9.840000000000e-01	0.000000000000e+00	-9.521398672183e-01	-2.365303031804e-04	
-9.830000000000e-01	-9.830000000000e-01	0.000000000000e+00	-9.520898137143e-01	-2.344309114952e-04	
