----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
sigma_h = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
<h_i> = ( -1.735472241790e-03 , 1.800892134882e-03 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all sites simultaneously.. 
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 0)
----------------------------------------------------------------------------------
-1.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	-9.529271397380e-01	-2.668381727364e-04	
-9.990000000000e-01	-9.990000000000e-01	0.000000000000e+00	-9.528787012889e-01	-2.653995745244e-04	
-9.980000000000e-01	-9.980000000000e-01	0.000000000000e+00	-9.528301317891e-01	-2.636143232644e-04	
-9.970000000000e-01	-9.970000000000e-01	0.000000000000e+00	-9.527814652632e-01	-2.618065985238e-04	
-9.960000000000e-01	-9.960000000000e-01	0.000000000000e+00	-9.527327021941e-01	-2.599834172291e-04	
-9.950000000000e-01	-9.950000000000e-01	0.000000000000e+00	-9.526838416484e-01	-2.581389925361e-04	
-9.940000000000e-01	-9.940000000000e-01	0.000000000000e+00	-9.526348840992e-01	-2.562801193031e-04	
-9.930000000000e-01	-9.930000000000e-01	0.000000000000e+00	-9.525858290215e-01	-2.544046126385e-04	
-9.920000000000e-01	-9.920000000000e-01	0.000000000000e+00	-9.525366747292e-01	-2.525002815736e-04	
-9.910000000000e-01	-9.910000000000e-01	0.000000000000e+00	-9.524874222827e-01	-2.505789722996e-04	
-9.900000000000e-01	-9.900000000000e-01	0.000000000000e+00	-9.524380712981e-01	-2.486400050574e-04	
-9.890000000000e-01	-9.890000000000e-01	0.000000000000e+00	-9.523886212500e-01	-2.466813619264e-04	
-9.880000000000e-01	-9.880000000000e-01	0.000000000000e+00	-9.523390715491e-01	-2.447005028979e-04	
-9.870000000000e-01	-9.870000000000e-01	0.000000000000e+00	-9.522894213571e-01	-2.426927513606e-04	
-9.860000000000e-01	-9.860000000000e-01	0.000000000000e+00	-9.522396713625e-01	-2.406669324100e-04	
-9.850000000000e-01	-9.850000000000e-01	0.000000000000e+00	-9.521898206776e-01	-2.386179670926e-04	
-9.840000000000e-01	-9.840000000000e-01	0.000000000000e+00	-9.521398692989e-01	-2.365485802934e-04	
-9.830000000000e-01	-9.830000000000e-01	0.000000000000e+00	-9.520898155493e-01	-2.344469814123e-04	
