----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
sigma_h = ( 1.000000000000e+00 , 0.000000000000e+00 ) ,
<h_i> = ( -2.326736468909e-03 , 0.000000000000e+00 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 1 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all sites simultaneously.. 
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 1)
----------------------------------------------------------------------------------
-1.185880697023e+01	-1.185880697023e+01	0.000000000000e+00	-1.000000000000e+00	6.133031813144e-17	
-1.184694816326e+01	-1.184694816326e+01	0.000000000000e+00	-1.000000000000e+00	1.559185742823e-17	
-1.183508935629e+01	-1.183508935629e+01	0.000000000000e+00	-1.000000000000e+00	3.966697971230e-18	
-1.182323054932e+01	-1.182323054932e+01	0.000000000000e+00	-1.000000000000e+00	1.010088885009e-18	
-1.181137174235e+01	-1.181137174235e+01	0.000000000000e+00	-1.000000000000e+00	2.573867291416e-19	
-1.179951293538e+01	-1.179951293538e+01	0.000000000000e+00	-1.000000000000e+00	6.564784606405e-20	
-1.178765412841e+01	-1.178765412841e+01	0.000000000000e+00	-1.000000000000e+00	1.675492114346e-20	
-1.177579532144e+01	-1.177579532144e+01	0.000000000000e+00	-1.000000000000e+00	4.280333175645e-21	
-1.176393651447e+01	-1.176393651447e+01	0.000000000000e+00	-1.000000000000e+00	1.094195717055e-21	
-1.175207770750e+01	-1.175207770750e+01	0.000000000000e+00	-1.000000000000e+00	2.799811672490e-22	
-1.174021890053e+01	-1.174021890053e+01	0.000000000000e+00	-1.000000000000e+00	7.168727320847e-23	
-1.172836009356e+01	-1.172836009356e+01	0.000000000000e+00	-1.000000000000e+00	1.837269570097e-23	
-1.171650128659e+01	-1.171650128659e+01	0.000000000000e+00	-1.000000000000e+00	4.711750466214e-24	
-1.170464247962e+01	-1.170464247962e+01	0.000000000000e+00	-1.000000000000e+00	1.209508709879e-24	
-1.169278367265e+01	-1.169278367265e+01	0.000000000000e+00	-1.000000000000e+00	3.106811943318e-25	
-1.168092486568e+01	-1.168092486568e+01	0.000000000000e+00	-1.000000000000e+00	7.987978063259e-26	
-1.166906605871e+01	-1.166906605871e+01	0.000000000000e+00	-1.000000000000e+00	2.055132572335e-26	
-1.165720725174e+01	-1.165720725174e+01	0.000000000000e+00	-1.000000000000e+00	5.292447040792e-27	
