----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 1.000000000000e-07 ) ,
sigma_h = ( 1.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( 4.942593011835e-04 , 0.000000000000e+00 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 0)
----------------------------------------------------------------------------------
-4.010000000000e+00	-4.010000000000e+00	1.000000000000e-07	-1.000000000000e+00	2.494897653763e-08	
-4.009999000000e+00	-4.009999000000e+00	1.000000000000e-07	-1.000000000000e+00	2.494898084035e-08	
-4.009997000000e+00	-4.009997000000e+00	1.000000000000e-07	-1.000000000000e+00	2.494899444211e-08	
-4.009993000000e+00	-4.009993000000e+00	1.000000000000e-07	-1.000000000000e+00	2.494902006107e-08	
-4.009985000000e+00	-4.009985000000e+00	1.000000000000e-07	-1.000000000000e+00	2.494906929740e-08	
-4.009969000000e+00	-4.009969000000e+00	1.000000000000e-07	-1.000000000000e+00	2.494916949640e-08	
-4.009937000000e+00	-4.009937000000e+00	1.000000000000e-07	-1.000000000000e+00	2.494936814625e-08	
-4.009873000000e+00	-4.009873000000e+00	1.000000000000e-07	-1.000000000000e+00	2.494976719206e-08	
-4.009745000000e+00	-4.009745000000e+00	1.000000000000e-07	-1.000000000000e+00	2.495056358000e-08	
-4.009489000000e+00	-4.009489000000e+00	1.000000000000e-07	-1.000000000000e+00	2.495215824500e-08	
-4.008977000000e+00	-4.008977000000e+00	1.000000000000e-07	-1.000000000000e+00	2.495534644777e-08	
-4.007953000000e+00	-4.007953000000e+00	1.000000000000e-07	-1.000000000000e+00	2.496172703535e-08	
-4.005905000000e+00	-4.005905000000e+00	1.000000000000e-07	-1.000000000000e+00	2.497449626310e-08	
-4.001895000000e+00	-4.001895000000e+00	1.000000000000e-07	-1.000000000000e+00	2.499953812085e-08	
-3.997885000000e+00	-3.997885000000e+00	1.000000000000e-07	-1.000000000000e+00	2.502462965726e-08	
-3.993875000000e+00	-3.993875000000e+00	1.000000000000e-07	-1.000000000000e+00	2.504977161805e-08	
-3.989865000000e+00	-3.989865000000e+00	1.000000000000e-07	-1.000000000000e+00	2.507496415539e-08	
-3.985855000000e+00	-3.985855000000e+00	1.000000000000e-07	-1.000000000000e+00	2.510020742205e-08	
