----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 2.000000000000e-01 ) ,
sigma_h = ( 1.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( 4.942593011835e-04 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
0.000000000000e+00	-0.000000000000e+00	2.000000000000e-01	2.416787629621e-03	9.980639064550e-01	
1.000000000000e-04	-1.256636978753e-04	1.999999605216e-01	1.801373193936e-03	9.980652015605e-01	
2.000000000000e-04	-2.513273461405e-04	1.999998420864e-01	1.185957229932e-03	9.980661185961e-01	
3.000000000000e-04	-3.769908951856e-04	1.999996446943e-01	5.705399520590e-04	9.980666575599e-01	
4.000000000000e-04	-5.026542954007e-04	1.999993683457e-01	-4.487842532057e-05	9.980668184501e-01	
5.000000000000e-04	-6.283174971759e-04	1.999990130404e-01	-6.602976878419e-04	9.980666012651e-01	
6.000000000000e-04	-7.539804509013e-04	1.999985787786e-01	-1.275717621138e-03	9.980660060031e-01	
7.000000000000e-04	-8.796431069671e-04	1.999980655607e-01	-1.891138010841e-03	9.980650326628e-01	
8.000000000000e-04	-1.005305415764e-03	1.999974733866e-01	-2.506558642579e-03	9.980636812426e-01	
9.000000000000e-04	-1.130967327682e-03	1.999968022567e-01	-3.121979301981e-03	9.980619517414e-01	
1.000000000000e-03	-1.256628793112e-03	1.999960521712e-01	-3.737399774670e-03	9.980598441578e-01	
1.100000000000e-03	-1.382289762445e-03	1.999952231305e-01	-4.352819846270e-03	9.980573584908e-01	
1.200000000000e-03	-1.507950186071e-03	1.999943151348e-01	-4.968239302402e-03	9.980544947393e-01	
1.300000000000e-03	-1.633610014383e-03	1.999933281845e-01	-5.583657928684e-03	9.980512529025e-01	
1.400000000000e-03	-1.759269197772e-03	1.999922622800e-01	-6.199075510734e-03	9.980476329795e-01	
1.500000000000e-03	-1.884927686629e-03	1.999911174218e-01	-6.814491834167e-03	9.980436349695e-01	
1.600000000000e-03	-2.010585431346e-03	1.999898936102e-01	-7.429906684595e-03	9.980392588720e-01	
1.700000000000e-03	-2.136242382316e-03	1.999885908458e-01	-8.045319847628e-03	9.980345046864e-01	
1.800000000000e-03	-2.261898489932e-03	1.999872091290e-01	-8.660731108876e-03	9.980293724123e-01	
1.900000000000e-03	-2.387553704585e-03	1.999857484605e-01	-9.276140253944e-03	9.980238620494e-01	
2.000000000000e-03	-2.513207976671e-03	1.999842088408e-01	-9.891547068437e-03	9.980179735974e-01	
2.100000000000e-03	-2.638861256581e-03	1.999825902704e-01	-1.050695133796e-02	9.980117070562e-01	
2.200000000000e-03	-2.764513494711e-03	1.999808927501e-01	-1.112235284811e-02	9.980050624257e-01	
2.300000000000e-03	-2.890164641455e-03	1.999791162805e-01	-1.173775138448e-02	9.979980397060e-01	
2.400000000000e-03	-3.015814647207e-03	1.999772608624e-01	-1.235314673267e-02	9.979906388972e-01	
2.500000000000e-03	-3.141463462364e-03	1.999753264963e-01	-1.296853867828e-02	9.979828599997e-01	
2.600000000000e-03	-3.267111037321e-03	1.999733131832e-01	-1.358392700690e-02	9.979747030136e-01	
2.700000000000e-03	-3.392757322474e-03	1.999712209238e-01	-1.419931150411e-02	9.979661679396e-01	
2.800000000000e-03	-3.518402268220e-03	1.999690497189e-01	-1.481469195551e-02	9.979572547781e-01	
2.900000000000e-03	-3.644045824957e-03	1.999667995694e-01	-1.543006814668e-02	9.979479635297e-01	
3.000000000000e-03	-3.769687943082e-03	1.999644704762e-01	-1.604543986320e-02	9.979382941953e-01	
3.100000000000e-03	-3.895328572994e-03	1.999620624401e-01	-1.666080689065e-02	9.979282467756e-01	
3.200000000000e-03	-4.020967665092e-03	1.999595754622e-01	-1.727616901462e-02	9.979178212716e-01	
3.300000000000e-03	-4.146605169775e-03	1.999570095435e-01	-1.789152602068e-02	9.979070176842e-01	
3.400000000000e-03	-4.272241037445e-03	1.999543646848e-01	-1.850687769440e-02	9.978958360147e-01	
3.500000000000e-03	-4.397875218501e-03	1.999516408874e-01	-1.912222382136e-02	9.978842762643e-01	
3.600000000000e-03	-4.523507663346e-03	1.999488381522e-01	-1.973756418713e-02	9.978723384342e-01	
3.700000000000e-03	-4.649138322382e-03	1.999459564804e-01	-2.035289857727e-02	9.978600225259e-01	
3.800000000000e-03	-4.774767146011e-03	1.999429958731e-01	-2.096822677736e-02	9.978473285409e-01	
3.900000000000e-03	-4.900394084638e-03	1.999399563314e-01	-2.158354857295e-02	9.978342564808e-01	
4.000000000000e-03	-5.026019088667e-03	1.999368378567e-01	-2.219886374961e-02	9.978208063474e-01	
4.100000000000e-03	-5.151642108504e-03	1.999336404500e-01	-2.281417209290e-02	9.97
