----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 16 x 16 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 2.000000000000e-01 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -2.934241470612e-02 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
0.000000000000e+00	-0.000000000000e+00	2.000000000000e-01	-1.078075106518e-01	9.612874065437e-01	
1.250000000000e-05	-1.570796325180e-05	1.999999993831e-01	-1.078610139300e-01	9.612814375222e-01	
2.500000000000e-05	-3.141592640671e-05	1.999999975326e-01	-1.079145168572e-01	9.612754656054e-01	
3.750000000000e-05	-4.712388936782e-05	1.999999944483e-01	-1.079680194332e-01	9.612694907933e-01	
5.000000000000e-05	-6.283185203825e-05	1.999999901304e-01	-1.080215216581e-01	9.612635130858e-01	
6.250000000000e-05	-7.853981432111e-05	1.999999845787e-01	-1.080750235319e-01	9.612575324831e-01	
7.500000000000e-05	-9.424777611949e-05	1.999999777934e-01	-1.081285250545e-01	9.612515489851e-01	
8.750000000000e-05	-1.099557373365e-04	1.999999697743e-01	-1.081820262259e-01	9.612455625918e-01	
1.000000000000e-04	-1.256636978753e-04	1.999999605216e-01	-1.082355270460e-01	9.612395733032e-01	
1.125000000000e-04	-1.413716576388e-04	1.999999500351e-01	-1.082890275150e-01	9.612335811194e-01	
1.250000000000e-04	-1.570796165304e-04	1.999999383150e-01	-1.083425276326e-01	9.612275860403e-01	
1.375000000000e-04	-1.727875744530e-04	1.999999253611e-01	-1.083960273990e-01	9.612215880660e-01	
1.500000000000e-04	-1.884955313097e-04	1.999999111736e-01	-1.084495268140e-01	9.612155871964e-01	
1.625000000000e-04	-2.042034870038e-04	1.999998957523e-01	-1.085030258777e-01	9.612095834316e-01	
1.750000000000e-04	-2.199114414382e-04	1.999998790974e-01	-1.085565245901e-01	9.612035767716e-01	
1.875000000000e-04	-2.356193945160e-04	1.999998612087e-01	-1.086100229510e-01	9.611975672164e-01	
2.000000000000e-04	-2.513273461405e-04	1.999998420864e-01	-1.086635209606e-01	9.611915547659e-01	
2.125000000000e-04	-2.670352962146e-04	1.999998217303e-01	-1.087170186187e-01	9.611855394203e-01	
2.250000000000e-04	-2.827432446415e-04	1.999998001405e-01	-1.087705159254e-01	9.611795211794e-01	
