----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
0.000000000000e+00	-0.000000000000e+00	4.000000000000e-02	-1.691786286352e-02	9.321880015367e-01	-2.092099265360e+00	
1.000000000000e-04	-2.513273957505e-05	3.999999210432e-02	-1.710332681210e-02	9.321859120776e-01	-2.092099685522e+00	
2.000000000000e-04	-5.026546922809e-05	3.999996841727e-02	-1.728879200193e-02	9.321837824147e-01	-2.092100095626e+00	
3.000000000000e-04	-7.539817903712e-05	3.999992893887e-02	-1.747425841365e-02	9.321816125478e-01	-2.092100495669e+00	
4.000000000000e-04	-1.005308590801e-04	3.999987366913e-02	-1.765972602799e-02	9.321794024768e-01	-2.092100885654e+00	
5.000000000000e-04	-1.256634994352e-04	3.999980260807e-02	-1.784519482565e-02	9.321771522016e-01	-2.092101265578e+00	
6.000000000000e-04	-1.507960901803e-04	3.999971575573e-02	-1.803066478737e-02	9.321748617221e-01	-2.092101635443e+00	
7.000000000000e-04	-1.759286213934e-04	3.999961311213e-02	-1.821613589386e-02	9.321725310383e-01	-2.092101995248e+00	
8.000000000000e-04	-2.010610831528e-04	3.999949467732e-02	-1.840160812585e-02	9.321701601500e-01	-2.092102344994e+00	
9.000000000000e-04	-2.261934655364e-04	3.999936045134e-02	-1.858708146404e-02	9.321677490572e-01	-2.092102684680e+00	
1.000000000000e-03	-2.513257586224e-04	3.999921043425e-02	-1.877255588918e-02	9.321652977599e-01	-2.092103014305e+00	
1.100000000000e-03	-2.764579524889e-04	3.999904462610e-02	-1.895803138197e-02	9.321628062580e-01	-2.092103333871e+00	
1.200000000000e-03	-3.015900372143e-04	3.999886302696e-02	-1.914350792314e-02	9.321602745514e-01	-2.092103643377e+00	
1.300000000000e-03	-3.267220028767e-04	3.999866563690e-02	-1.932898549342e-02	9.321577026401e-01	-2.092103942823e+00	
1.400000000000e-03	-3.518538395544e-04	3.999845245601e-02	-1.951446407352e-02	9.321550905241e-01	-2.092104232208e+00	
1.500000000000e-03	-3.769855373258e-04	3.999822348436e-02	-1.969994364418e-02	9.321524382034e-01	-2.092104511534e+00	
