----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
0.000000000000e+00	-0.000000000000e+00	4.000000000000e-02	-1.691786286352e-02	9.321880015367e-01	-2.092099265360e+00	
5.000000000000e-05	-1.256637040765e-05	3.999999802608e-02	-1.701059468142e-02	9.321869618326e-01	-2.092099476699e+00	
1.000000000000e-04	-2.513273957505e-05	3.999999210432e-02	-1.710332681210e-02	9.321859120776e-01	-2.092099685522e+00	
1.500000000000e-04	-3.769910626195e-05	3.999998223471e-02	-1.719605925307e-02	9.321848522716e-01	-2.092099891831e+00	
2.000000000000e-04	-5.026546922809e-05	3.999996841727e-02	-1.728879200193e-02	9.321837824147e-01	-2.092100095626e+00	
2.500000000000e-04	-6.283182723324e-05	3.999995065199e-02	-1.738152505626e-02	9.321827025067e-01	-2.092100296905e+00	
3.031250000000e-04	-7.618357579066e-05	3.999992745072e-02	-1.748005425849e-02	9.321815440916e-01	-2.092100508009e+00	
3.062500000000e-04	-7.696897251481e-05	3.999992594715e-02	-1.748585010451e-02	9.321814755962e-01	-2.092100520338e+00	
3.250000000000e-04	-8.168135222602e-05	3.999991660187e-02	-1.752062520524e-02	9.321810637991e-01	-2.092100594108e+00	
3.500000000000e-04	-8.796452339951e-05	3.999990327792e-02	-1.756699207170e-02	9.321805125378e-01	-2.092100691919e+00	
4.031250000000e-04	-1.013162547436e-04	3.999987168750e-02	-1.766552191010e-02	9.321793327642e-01	-2.092100897678e+00	
4.062500000000e-04	-1.021016503680e-04	3.999986969045e-02	-1.767131779337e-02	9.321792630124e-01	-2.092100909694e+00	
4.250000000000e-04	-1.068140232772e-04	3.999985738430e-02	-1.770609311722e-02	9.321788436771e-01	-2.092100981578e+00	
4.500000000000e-04	-1.130971848388e-04	3.999984011252e-02	-1.775246028010e-02	9.321782823647e-01	-2.092101076873e+00	
5.000000000000e-04	-1.256634994352e-04	3.999980260807e-02	-1.784519482565e-02	9.321771522016e-01	-2.092101265578e+00	
5.500000000000e-04	-1.382298016291e-04	3.999976115581e-02	-1.793792966221e-02	9.321760119874e-01	-2.092101451768e+00	
