L{N=LxL} |h|, SUM[del(m_x)^2] SUM[del(m_y)^2] SUM[del(E)^2] SUM[del(|m|)^2]
L{N=LxL} , 80 80 80 80 80
80 0.010000 2.03025e-09 3.68119e-11 2.13596e-11 2.06707e-09
80 0.012000 2.94303e-09 5.69449e-11 3.14408e-11 2.99998e-09
80 0.014000 3.44149e-09 7.62231e-11 4.11607e-11 3.51771e-09
80 0.016000 3.73445e-09 9.79138e-11 5.00619e-11 3.83236e-09
80 0.018000 4.34293e-09 1.29538e-10 6.16221e-11 4.47246e-09
80 0.020000 4.11921e-09 1.49238e-10 6.85408e-11 4.26844e-09
80 0.022000 4.23098e-09 1.76178e-10 7.84877e-11 4.40716e-09
80 0.024000 7.00968e-09 1.12463e-08 1.08263e-08 1.8256e-08
80 0.026000 1.31944e-08 3.63717e-08 3.35824e-08 4.95659e-08
80 0.028000 2.6345e-08 1.06603e-07 9.84249e-08 1.32948e-07
80 0.030000 6.05409e-08 3.68503e-07 3.06199e-07 4.29043e-07
80 0.032000 1.89607e-07 1.87041e-06 1.31113e-06 2.06002e-06
80 0.034000 7.66958e-07 1.97962e-05 2.7048e-06 2.05631e-05
80 0.035000 1.19796e-06 3.42048e-05 5.60959e-06 3.54027e-05
80 0.036000 1.42853e-06 4.48016e-05 5.72588e-06 4.62302e-05
80 0.037000 1.81413e-06 5.82869e-05 7.01565e-06 6.01011e-05
80 0.038000 2.08105e-06 6.94269e-05 8.23662e-06 7.1508e-05
80 0.039000 2.38846e-06 7.70305e-05 8.98597e-06 7.9419e-05
80 0.040000 2.94737e-06 9.2738e-05 1.00323e-05 9.56854e-05
80 0.041000 3.07737e-06 9.1479e-05 9.99045e-06 9.45565e-05
80 0.042000 3.38703e-06 0.000103066 1.00877e-05 0.000106453
80 0.043000 3.59518e-06 0.000108731 1.05301e-05 0.000112326
80 0.044000 3.73766e-06 0.000108767 9.35377e-06 0.000112504
80 0.045000 3.64828e-06 0.000102177 8.59314e-06 0.000105825
80 0.046000 3.1722e-06 8.64033e-05 7.00362e-06 8.95756e-05
80 0.048000 2.65889e-06 6.92077e-05 5.42257e-06 7.18666e-05
80 0.050000 2.32205e-06 5.63646e-05 4.4779e-06 5.86866e-05
80 0.052000 2.11877e-06 4.94571e-05 3.70334e-06 5.15758e-05
80 0.054000 1.95827e-06 4.44201e-05 3.30475e-06 4.63784e-05
80 0.056000 1.81533e-06 4.08162e-05 2.76903e-06 4.26316e-05
80 0.058000 1.68626e-06 3.71881e-05 2.52869e-06 3.88743e-05
80 0.060000 1.56923e-06 3.46306e-05 2.24056e-06 3.61998e-05
80 0.064000 1.34722e-06 3.00698e-05 1.73665e-06 3.1417e-05
80 0.070000 1.01085e-06 2.28228e-05 1.14696e-06 2.38336e-05
80 0.080000 5.82786e-07 1.30897e-05 5.67243e-07 1.36725e-05
80 0.090000 3.33014e-07 7.9131e-06 2.54508e-07 8.24612e-06
80 0.100000 1.79855e-07 4.06682e-06 1.10315e-07 4.24667e-06
80 0.110000 9.96602e-08 2.27533e-06 4.43392e-08 2.37499e-06
80 0.120000 5.15931e-08 1.2278e-06 1.70029e-08 1.27939e-06
80 0.130000 2.78543e-08 6.09766e-07 6.03235e-09 6.3762e-07
80 0.140000 1.50621e-08 3.20567e-07 1.98554e-09 3.3563e-07
80 0.150000 8.4777e-09 1.65438e-07 7.32735e-10 1.73916e-07
